"MaritalStatus";"ApplicationMode";"ApplicationOrder";"Course";"DaytimeEveningAttendance";"PreviousQualification";"PreviousQualificationGrade";"Nationality";"MotherQualification";"FatherQualification";"MotherOccupation";"FatherOccupation";"AdmissionGrade";"Displaced";"EducationalSpecialNeeds";"Debtor";"TuitionFeesUpToDate";"Gender";"ScholarshipHolder";"AgeAtEnrollment";"International";"CurricularUnits1stSemCredited";"CurricularUnits1stSemEnrolled";"CurricularUnits1stSemEvaluation";"CurricularUnits1stSemApproved";"CurricularUnits1stSemGrade";"CurricularUnits1stSemNoEvaluation";"CurricularUnits2ndSemCredited";"CurricularUnits2ndSemEnrolled";"CurricularUnits2ndSemEvaluations";"CurricularUnits2ndSemApproved";"CurricularUnits2ndSemGrade";"CurricularUnits2ndSemNoEvaluation";"AverageCurricularGrade";"UnemploymentRate";"InflationRate";"GDP";"Target"
"1";"7";"1";"8014";"0";"3";"140";"1";"1";"1";"4";"4";"140.00";"0";"0";"0";"1";"0";"0";"30";"0";"0";"6";"0";"0";"0.00";"0";"0";"6";"0";"0";"0.00";"0";"0";"10.80";"1.40";"1.74";"1"
"1";"1";"1";"9670";"1";"1";"131";"1";"37";"37";"9";"9";"123.00";"1";"0";"0";"1";"0";"1";"18";"0";"0";"5";"6";"3";"11.67";"0";"0";"5";"6";"4";"13.50";"0";"12.59";"7.60";"2.60";"0.32";"2"
"1";"1";"1";"9238";"1";"1";"151";"1";"37";"1";"9";"9";"138.40";"1";"0";"0";"1";"0";"1";"20";"0";"0";"6";"8";"6";"14.25";"0";"0";"6";"8";"6";"11.00";"0";"12.63";"12.70";"3.70";"-1.70";"3"
"1";"1";"1";"9147";"1";"1";"127";"1";"1";"4";"9";"10";"121.80";"0";"0";"0";"1";"1";"0";"19";"0";"0";"5";"8";"5";"11.60";"0";"0";"5";"10";"4";"13.50";"3";"12.55";"16.20";"0.30";"-0.92";"3"
"1";"1";"1";"9670";"1";"1";"141";"1";"1";"19";"4";"4";"132.60";"0";"0";"0";"1";"0";"1";"18";"0";"0";"6";"8";"6";"14.00";"0";"0";"6";"7";"6";"13.15";"0";"13.58";"11.10";"0.60";"2.02";"3"
"1";"44";"3";"9085";"1";"39";"150";"1";"1";"19";"4";"1";"150.00";"1";"0";"0";"1";"0";"0";"19";"0";"0";"5";"10";"1";"13.00";"1";"0";"5";"8";"3";"15.34";"0";"14.17";"12.70";"3.70";"-1.70";"2"
"1";"1";"1";"9085";"1";"1";"123";"1";"3";"1";"2";"5";"112.90";"0";"0";"0";"1";"1";"0";"18";"0";"0";"5";"5";"0";"0.00";"0";"0";"5";"5";"0";"0.00";"0";"0";"7.60";"2.60";"0.32";"1"
"1";"17";"1";"9147";"1";"1";"120";"1";"38";"38";"9";"8";"118.30";"0";"0";"0";"1";"1";"0";"18";"0";"0";"5";"13";"1";"10.00";"0";"0";"5";"5";"1";"10.00";"0";"10";"12.70";"3.70";"-1.70";"1"
"1";"16";"1";"9085";"1";"1";"140";"1";"1";"1";"9";"9";"127.10";"1";"0";"0";"1";"0";"0";"18";"0";"0";"5";"8";"4";"13.25";"1";"0";"5";"10";"4";"10.50";"0";"11.88";"12.70";"3.70";"-1.70";"3"
"1";"17";"4";"9085";"1";"1";"126";"1";"1";"3";"5";"5";"123.90";"1";"0";"0";"1";"1";"0";"21";"0";"0";"6";"0";"0";"0.00";"0";"0";"6";"0";"0";"0.00";"0";"0";"10.80";"1.40";"1.74";"1"
"1";"1";"5";"9500";"1";"1";"144";"1";"37";"37";"7";"9";"126.80";"1";"0";"1";"0";"0";"0";"18";"0";"0";"7";"0";"0";"0.00";"0";"0";"8";"0";"0";"0.00";"0";"0";"9.40";"-0.80";"-3.12";"1"
"1";"1";"6";"9119";"1";"1";"126";"1";"19";"19";"7";"3";"116.60";"1";"0";"0";"1";"1";"1";"20";"0";"0";"5";"6";"5";"14.00";"0";"0";"5";"7";"5";"13.80";"0";"13.9";"8.90";"1.40";"3.51";"3"
"1";"1";"1";"9238";"1";"1";"168";"1";"37";"37";"9";"9";"149.50";"0";"0";"0";"1";"0";"0";"18";"0";"0";"6";"10";"6";"17.00";"0";"0";"6";"11";"6";"16.00";"0";"16.5";"12.40";"0.50";"1.79";"3"
"1";"1";"1";"171";"1";"1";"134";"1";"3";"1";"2";"4";"128.20";"1";"0";"0";"1";"0";"0";"20";"0";"5";"12";"13";"12";"11.24";"0";"3";"11";"18";"9";"12.78";"0";"12.01";"11.10";"0.60";"2.02";"3"
"1";"17";"2";"9500";"1";"1";"130";"1";"38";"38";"7";"7";"122.50";"1";"0";"0";"1";"0";"0";"19";"0";"0";"8";"8";"7";"13.94";"0";"0";"8";"8";"7";"13.94";"0";"13.94";"10.80";"1.40";"1.74";"3"
"1";"1";"4";"9500";"1";"1";"144";"1";"3";"39";"2";"3";"129.00";"1";"0";"0";"1";"0";"0";"18";"0";"0";"7";"8";"7";"12.65";"0";"0";"8";"9";"8";"13.42";"0";"13.04";"16.20";"0.30";"-0.92";"1"
"1";"1";"1";"9119";"1";"1";"121";"1";"3";"1";"2";"3";"114.00";"0";"0";"0";"1";"1";"0";"20";"0";"0";"5";"9";"4";"11.60";"0";"0";"5";"7";"4";"12.25";"2";"11.93";"7.60";"2.60";"0.32";"2"
"1";"17";"2";"9773";"1";"1";"126";"1";"19";"38";"9";"8";"118.70";"1";"0";"0";"1";"0";"1";"18";"0";"0";"6";"6";"6";"14.17";"0";"0";"6";"6";"6";"13.67";"0";"13.92";"12.40";"0.50";"1.79";"3"
"1";"1";"3";"9500";"1";"1";"136";"1";"1";"1";"4";"4";"127.00";"1";"0";"0";"1";"0";"0";"19";"0";"0";"8";"10";"1";"13.67";"7";"0";"8";"10";"1";"13.67";"7";"13.67";"9.40";"-0.80";"-3.12";"2"
"1";"17";"2";"9556";"1";"1";"134";"1";"37";"38";"9";"8";"106.00";"1";"0";"0";"1";"0";"0";"19";"0";"0";"7";"16";"2";"12.75";"0";"0";"7";"12";"2";"11.00";"0";"11.88";"8.90";"1.40";"3.51";"1"
"1";"17";"4";"9119";"1";"1";"122";"62";"1";"1";"191";"171";"121.00";"1";"0";"0";"1";"1";"0";"20";"1";"0";"5";"10";"4";"14.25";"0";"0";"5";"14";"1";"10.00";"0";"12.13";"8.90";"1.40";"3.51";"2"
"2";"39";"2";"8014";"0";"1";"100";"1";"34";"34";"0";"0";"100.00";"1";"0";"0";"1";"0";"0";"41";"0";"0";"6";"9";"5";"11.80";"0";"1";"6";"10";"3";"10.67";"1";"11.24";"7.60";"2.60";"0.32";"3"
"1";"17";"1";"9670";"1";"1";"149";"1";"19";"37";"7";"4";"134.30";"0";"1";"0";"1";"0";"0";"20";"0";"0";"6";"7";"6";"12.67";"0";"0";"6";"9";"6";"13.78";"0";"13.23";"10.80";"1.40";"1.74";"3"
"1";"1";"3";"9085";"1";"1";"142";"1";"11";"11";"90";"90";"155.30";"0";"0";"0";"1";"0";"0";"19";"0";"0";"5";"5";"5";"15.20";"0";"0";"5";"6";"5";"13.20";"0";"14.2";"7.60";"2.60";"0.32";"3"
"1";"1";"1";"9500";"1";"1";"147";"1";"38";"19";"5";"8";"147.30";"0";"0";"0";"1";"0";"0";"18";"0";"0";"7";"7";"6";"13.97";"0";"0";"7";"7";"6";"13.97";"0";"13.97";"7.60";"2.60";"0.32";"3"
"1";"1";"1";"9773";"1";"1";"134";"1";"1";"3";"9";"9";"116.00";"0";"0";"0";"1";"1";"0";"20";"0";"0";"6";"8";"6";"11.50";"0";"0";"6";"8";"6";"11.00";"0";"11.25";"16.20";"0.30";"-0.92";"3"
"1";"1";"6";"171";"1";"1";"134";"1";"19";"37";"5";"5";"126.00";"1";"0";"0";"1";"0";"1";"18";"0";"0";"0";"0";"0";"0.00";"0";"0";"0";"0";"0";"0.00";"0";"0";"9.40";"-0.80";"-3.12";"3"
"1";"7";"1";"9773";"1";"43";"140";"1";"19";"1";"4";"8";"140.00";"0";"0";"0";"1";"1";"0";"25";"0";"0";"6";"6";"6";"14.67";"0";"0";"6";"6";"6";"13.50";"0";"14.09";"11.10";"0.60";"2.02";"3"
"1";"1";"2";"9556";"1";"1";"136";"1";"19";"19";"9";"9";"129.50";"1";"0";"0";"1";"0";"0";"18";"0";"0";"7";"9";"7";"15.16";"0";"0";"8";"8";"8";"16.80";"0";"15.98";"12.70";"3.70";"-1.70";"3"
"1";"1";"1";"9254";"1";"1";"132";"1";"19";"38";"9";"7";"120.10";"0";"0";"0";"1";"0";"1";"20";"0";"0";"6";"6";"6";"12.34";"0";"0";"6";"7";"6";"11.84";"0";"12.09";"13.90";"-0.30";"0.79";"3"
"1";"17";"2";"9556";"1";"1";"136";"1";"1";"1";"9";"9";"128.30";"0";"0";"0";"1";"0";"1";"18";"0";"0";"7";"7";"7";"13.43";"0";"0";"8";"8";"8";"14.75";"0";"14.09";"15.50";"2.80";"-4.06";"3"
"1";"1";"1";"9773";"1";"1";"122";"1";"38";"19";"9";"9";"126.60";"1";"0";"0";"1";"0";"0";"18";"0";"0";"6";"6";"6";"12.84";"0";"0";"6";"6";"6";"13.84";"0";"13.34";"8.90";"1.40";"3.51";"3"
"1";"1";"1";"9147";"1";"1";"128";"1";"38";"37";"5";"6";"122.10";"0";"0";"0";"1";"0";"1";"18";"0";"0";"5";"11";"4";"11.58";"0";"0";"5";"9";"5";"12.00";"0";"11.79";"13.90";"-0.30";"0.79";"2"
"1";"1";"5";"9147";"1";"1";"133";"1";"19";"3";"9";"9";"123.20";"1";"0";"0";"1";"1";"0";"18";"0";"0";"5";"14";"4";"11.00";"0";"0";"5";"9";"5";"10.50";"0";"10.75";"13.90";"-0.30";"0.79";"1"
"4";"39";"1";"9500";"1";"1";"134";"1";"37";"37";"9";"9";"130.00";"0";"0";"1";"1";"0";"0";"38";"0";"0";"7";"13";"3";"11.84";"0";"0";"7";"14";"2";"10.00";"0";"10.92";"16.20";"0.30";"-0.92";"1"
"1";"1";"1";"9238";"1";"1";"125";"1";"1";"1";"3";"3";"125.70";"1";"0";"0";"1";"0";"0";"18";"0";"0";"6";"10";"6";"11.58";"0";"0";"6";"8";"6";"12.34";"0";"11.96";"12.40";"0.50";"1.79";"3"
"1";"17";"1";"9085";"1";"1";"128";"1";"2";"19";"2";"4";"123.30";"1";"0";"0";"1";"0";"1";"20";"0";"0";"6";"6";"6";"14.84";"0";"0";"6";"8";"6";"12.15";"0";"13.5";"8.90";"1.40";"3.51";"3"
"1";"44";"1";"9003";"1";"1";"140";"1";"1";"1";"4";"5";"140.00";"0";"0";"0";"1";"1";"0";"20";"0";"0";"6";"11";"6";"11.29";"0";"0";"6";"12";"5";"11.78";"0";"11.54";"16.20";"0.30";"-0.92";"2"
"1";"44";"1";"9003";"1";"39";"140";"1";"19";"38";"3";"9";"140.00";"1";"0";"0";"1";"1";"0";"21";"0";"0";"6";"7";"6";"12.86";"0";"0";"6";"6";"6";"13.17";"0";"13.02";"12.40";"0.50";"1.79";"3"
"1";"1";"1";"171";"1";"1";"163";"1";"19";"1";"9";"7";"143.10";"0";"0";"0";"1";"1";"0";"18";"0";"0";"0";"0";"0";"0.00";"0";"0";"0";"0";"0";"0.00";"0";"0";"9.40";"-0.80";"-3.12";"3"
"1";"1";"4";"9500";"1";"1";"135";"1";"38";"37";"9";"8";"126.30";"1";"0";"0";"1";"0";"1";"19";"0";"0";"7";"7";"6";"15.44";"0";"0";"7";"7";"6";"15.44";"0";"15.44";"7.60";"2.60";"0.32";"3"
"1";"43";"2";"9147";"1";"1";"130";"1";"34";"37";"9";"9";"118.50";"1";"0";"0";"1";"1";"0";"23";"0";"5";"10";"19";"8";"11.63";"1";"4";"10";"16";"10";"11.19";"3";"11.41";"7.60";"2.60";"0.32";"3"
"1";"43";"1";"9500";"1";"1";"121";"1";"38";"19";"5";"5";"115.40";"1";"0";"0";"1";"0";"1";"24";"0";"0";"8";"8";"7";"11.98";"0";"0";"8";"8";"7";"11.98";"0";"11.98";"12.70";"3.70";"-1.70";"2"
"1";"17";"2";"9500";"1";"1";"135";"1";"19";"1";"5";"4";"127.30";"1";"0";"0";"1";"0";"0";"18";"0";"0";"7";"8";"7";"13.31";"0";"0";"8";"8";"8";"14.55";"0";"13.93";"15.50";"2.80";"-4.06";"3"
"1";"17";"1";"9773";"1";"1";"128";"1";"19";"38";"5";"7";"125.60";"1";"0";"0";"1";"1";"0";"19";"0";"0";"6";"6";"0";"0.00";"0";"0";"6";"0";"0";"0.00";"0";"0";"8.90";"1.40";"3.51";"1"
"1";"7";"1";"9070";"1";"3";"134";"1";"3";"5";"2";"2";"120.00";"1";"0";"0";"1";"0";"0";"32";"0";"0";"3";"3";"2";"16.00";"0";"0";"3";"3";"1";"16.00";"0";"16";"7.60";"2.60";"0.32";"1"
"1";"43";"2";"9500";"1";"6";"120";"1";"1";"19";"4";"10";"119.10";"0";"0";"0";"1";"1";"0";"22";"0";"0";"7";"7";"6";"12.74";"0";"0";"7";"7";"6";"12.74";"0";"12.74";"7.60";"2.60";"0.32";"3"
"1";"1";"3";"9500";"1";"1";"139";"1";"18";"18";"1";"1";"130.80";"1";"0";"0";"0";"0";"0";"18";"0";"0";"8";"9";"6";"12.76";"1";"0";"8";"9";"6";"12.76";"1";"12.76";"9.40";"-0.80";"-3.12";"1"
"1";"17";"2";"8014";"0";"1";"122";"1";"37";"19";"9";"9";"123.80";"0";"0";"0";"1";"0";"0";"20";"0";"0";"6";"8";"5";"12.00";"0";"0";"6";"8";"6";"11.00";"0";"11.5";"10.80";"1.40";"1.74";"3"
"1";"39";"1";"9991";"0";"1";"120";"1";"38";"38";"3";"3";"140.00";"0";"0";"0";"1";"0";"0";"25";"0";"0";"5";"11";"3";"10.67";"0";"0";"5";"11";"3";"11.34";"0";"11.01";"15.50";"2.80";"-4.06";"2"
"1";"17";"1";"9238";"1";"1";"128";"1";"19";"1";"0";"5";"122.10";"1";"0";"0";"1";"0";"0";"18";"0";"0";"6";"9";"5";"11.84";"0";"0";"6";"7";"5";"13.80";"0";"12.82";"13.90";"-0.30";"0.79";"3"
"1";"1";"6";"9147";"1";"1";"112";"1";"38";"38";"9";"9";"117.30";"1";"0";"0";"1";"0";"0";"20";"0";"0";"5";"8";"4";"12.00";"0";"0";"5";"8";"5";"11.20";"0";"11.6";"11.10";"0.60";"2.02";"3"
"1";"1";"1";"9085";"1";"1";"129";"1";"1";"38";"4";"7";"123.40";"0";"0";"0";"1";"0";"0";"19";"0";"0";"5";"6";"5";"12.40";"0";"0";"5";"6";"5";"13.40";"0";"12.9";"7.60";"2.60";"0.32";"3"
"1";"1";"1";"9147";"1";"1";"158";"1";"1";"38";"3";"6";"155.20";"0";"0";"0";"1";"1";"1";"18";"0";"0";"5";"5";"5";"11.80";"0";"0";"5";"8";"3";"11.00";"0";"11.4";"9.40";"-0.80";"-3.12";"3"
"1";"39";"1";"9991";"0";"1";"110";"1";"37";"37";"9";"9";"139.00";"0";"0";"0";"1";"1";"0";"40";"0";"0";"5";"0";"0";"0.00";"0";"0";"5";"0";"0";"0.00";"0";"0";"12.70";"3.70";"-1.70";"1"
"1";"17";"3";"9853";"1";"1";"138";"1";"37";"37";"5";"9";"125.10";"1";"1";"0";"1";"0";"1";"19";"0";"0";"6";"6";"6";"13.50";"0";"0";"6";"8";"5";"12.80";"0";"13.15";"12.70";"3.70";"-1.70";"1"
"1";"1";"3";"9500";"1";"1";"154";"1";"1";"37";"4";"9";"134.80";"1";"0";"0";"1";"0";"0";"19";"0";"0";"7";"7";"6";"13.54";"0";"0";"7";"7";"6";"13.54";"0";"13.54";"7.60";"2.60";"0.32";"3"
"2";"43";"1";"8014";"0";"1";"130";"1";"34";"34";"0";"0";"130.00";"0";"0";"0";"1";"0";"0";"45";"0";"10";"12";"12";"9";"12.45";"3";"4";"7";"8";"6";"12.00";"0";"12.23";"9.40";"-0.80";"-3.12";"1"
"1";"17";"1";"9853";"1";"1";"120";"1";"37";"37";"9";"10";"122.60";"0";"0";"0";"1";"0";"0";"20";"0";"0";"6";"8";"3";"12.34";"0";"0";"6";"11";"2";"10.50";"0";"11.42";"12.70";"3.70";"-1.70";"1"
"1";"17";"1";"9254";"1";"1";"128";"1";"19";"1";"5";"7";"120.70";"1";"0";"1";"1";"0";"0";"18";"0";"0";"6";"8";"6";"11.67";"0";"0";"6";"10";"4";"11.50";"0";"11.59";"13.90";"-0.30";"0.79";"3"
"2";"39";"1";"9500";"1";"1";"100";"1";"37";"38";"4";"4";"130.00";"0";"0";"0";"1";"1";"1";"33";"0";"0";"8";"16";"1";"10.00";"1";"0";"8";"16";"1";"10.00";"1";"10";"12.70";"3.70";"-1.70";"2"
"1";"43";"1";"9853";"1";"1";"140";"1";"37";"19";"9";"8";"122.30";"0";"0";"0";"1";"0";"0";"22";"0";"0";"6";"9";"5";"13.60";"0";"0";"6";"8";"5";"12.00";"0";"12.8";"12.70";"3.70";"-1.70";"1"
"2";"7";"1";"9130";"1";"2";"110";"1";"19";"19";"4";"8";"110.00";"1";"0";"0";"1";"1";"0";"37";"0";"0";"6";"9";"0";"0.00";"0";"0";"6";"6";"0";"0.00";"0";"0";"16.20";"0.30";"-0.92";"1"
"1";"7";"1";"9254";"1";"3";"110";"1";"19";"19";"3";"3";"110.00";"0";"0";"0";"1";"1";"0";"35";"0";"0";"6";"7";"0";"0.00";"0";"0";"6";"6";"0";"0.00";"0";"0";"16.20";"0.30";"-0.92";"1"
"1";"44";"1";"9003";"1";"39";"160";"1";"38";"38";"6";"6";"160.00";"1";"0";"0";"1";"0";"0";"21";"0";"0";"6";"11";"6";"13.43";"0";"0";"6";"12";"6";"12.86";"0";"13.15";"15.50";"2.80";"-4.06";"3"
"1";"43";"1";"9853";"1";"1";"140";"1";"37";"37";"6";"6";"125.20";"0";"0";"1";"1";"0";"0";"41";"0";"20";"21";"23";"21";"12.34";"0";"19";"19";"19";"19";"12.11";"0";"12.23";"12.40";"0.50";"1.79";"3"
"1";"44";"1";"9085";"1";"1";"140";"1";"4";"4";"2";"6";"140.00";"0";"0";"0";"1";"0";"0";"22";"0";"2";"6";"9";"6";"13.34";"0";"1";"6";"9";"4";"11.50";"0";"12.42";"13.90";"-0.30";"0.79";"3"
